population,term,mean_LZD_before,mean_VAN_before,mean_LZD_after,mean_VAN_after,SMD_before,SMD_after
physical_no_known_vre_shared,icu_unitCardiac Vascular Intensive Care Unit (CVICU),0.0357142857142857,0.189066059225513,0.0374530538786104,0.0429042860182422,-0.499889315264048,-0.0177696849487457
physical_no_known_vre_shared,icu_unitCoronary Care Unit (CCU),0.0238095238095238,0.0669134396355353,0.0232870535173978,0.0293813476874828,-0.207893974872222,-0.0293933164720738
physical_no_known_vre_shared,icu_unitMedical Intensive Care Unit (MICU),0.380952380952381,0.294419134396355,0.376227339186551,0.367832383225251,0.183148962637566,0.0177680549025113
physical_no_known_vre_shared,icu_unitMedical/Surgical Intensive Care Unit (MICU/SICU),0.357142857142857,0.230068337129841,0.353372825481871,0.343824328759012,0.280816404631185,0.0211008038359795
physical_no_known_vre_shared,icu_unitSurgical Intensive Care Unit (SICU),0.154761904761905,0.144646924829157,0.159514706674564,0.160240298803192,0.0282641631912161,-0.00202751310137678
physical_no_known_vre_shared,icu_unitTrauma SICU (TSICU),0.0476190476190476,0.0748861047835991,0.0501450212610065,0.0558173555068196,-0.113614816671514,-0.0236351584092266
physical_no_known_vre_shared,age,60.6071428571429,63.618166287016,60.8110961080377,60.8632255857102,-0.20692278760921,-0.00358242872824731
physical_no_known_vre_shared,genderM,0.511904761904762,0.619874715261959,0.519618484343648,0.521875427501363,-0.21845218263402,-0.00456640151777077
physical_no_known_vre_shared,known_platelets,60.0476190476191,65.4726651480638,59.9879694812944,60.2968823987175,-0.215065997444352,-0.0122462857419015
physical_no_known_vre_shared,log_creatinine,0.604114772029337,0.317735332253662,0.583590201536119,0.582520332503073,0.380836647416362,0.00142274646545553
physical_no_known_vre_shared,creatinine_missing,0.0238095238095238,0.0219248291571754,0.0226402532873574,0.0270762915639184,0.0125684159636253,-0.0295824972076566
physical_no_known_vre_shared,rrt_documented_prior24h,0.130952380952381,0.0723234624145786,0.120592991979146,0.124084091259884,0.194199980634187,-0.0115637714223613
physical_no_known_vre_shared,invasive_vent_documented_prior24h,0.5,0.562642369020501,0.502153347412658,0.504909937777404,-0.125390352553244,-0.00551782831787893
physical_no_known_vre_shared,pressors_documented_prior6h,0.345238095238095,0.373006833712984,0.350020016839972,0.353125684959393,-0.0577319151210457,-0.00645676318449564
physical_no_known_vre_shared,platelet_change_filled,-17.5595238095238,-17.3468109339408,-17.0122560911458,-17.5731790397755,-0.00609103196054233,0.0160620253858182
physical_no_known_vre_shared,trend_missing,0.511904761904762,0.48120728929385,0.512268523411888,0.501523373469539,0.0612367572646942,0.0214349287686454
physical_no_known_vre_shared,prior_recorded_marrow,0.273809523809524,0.110763097949886,0.268764584701285,0.262784866731128,0.421155230665994,0.0154458430337319
physical_no_known_vre_shared,log1p_admission_days,1.21036441831368,1.06048765383747,1.19461546181375,1.20498623787278,0.154896662496026,-0.0107181296890951
physical_no_known_vre_shared,culture72h,0.773809523809524,0.719817767653758,0.769788504097942,0.76903686477969,0.124049392661445,0.00172693773213387
physical_no_known_vre_shared,respiratory72h,0.261904761904762,0.163154897494305,0.254478276836783,0.251846070654857,0.242293945809119,0.00645841516653619
physical_no_known_vre_shared,log_inr,0.500377694635979,0.483110055712169,0.499751829484003,0.501783871830044,0.0495929169082635,-0.00583605596954671
physical_no_known_vre_shared,inr_missing,0.0952380952380952,0.0976651480637813,0.0969958618679651,0.102103940312138,-0.00819656268665675,-0.0172508339055992
physical_no_known_vre_shared,log1p_bilirubin,1.23228217350751,1.20739928945207,1.23737304375852,1.24005058125538,0.0316099456040975,-0.00340140694462541
physical_no_known_vre_shared,bilirubin_missing,0.178571428571429,0.324601366742597,0.180902907664674,0.192374321317545,-0.340550342230632,-0.0267520064329225
physical_no_known_vre_shared,mapped_eraboundary_uncertain,0.178571428571429,0.0697608200455581,0.170965367892295,0.168413181573882,0.333139394883582,0.00781388705811878
physical_no_known_vre_shared,mapped_eramapped_late,0.523809523809524,0.640660592255125,0.530125385706045,0.536756913924585,-0.237848664669232,-0.0134983800531577
physical_no_known_vre_shared,any_emar_available_before,0.511904761904762,0.582574031890661,0.51664629880257,0.521408766466612,-0.141890230402401,-0.00956211425800448
